Effect,Statistic,Value,Num DF,Den DF,F Value,Pr > F
x0,Wilks' lambda,0.9730865051078715,31,672.0,0.5995511313933017,0.9593160343070226
x0,Pillai's trace,0.026913494892128517,31.0,672.0,0.599551131393303,0.9593160343070226
x0,Hotelling-Lawley trace,0.027657864692250584,31,672.0000000000011,0.599551131393303,0.9593160343070336
x0,Roy's greatest root,0.027657864692250584,31,672,0.599551131393303,0.9593160343070226
x1,Wilks' lambda,0.973086495434509,31,672.0,0.5995513528465983,0.9593159277852867
x1,Pillai's trace,0.026913504565491048,31.0,672.0,0.5995513528465988,0.9593159277852867
x1,Hotelling-Lawley trace,0.02765787490810203,31,672.0000000000011,0.5995513528465988,0.9593159277852976
x1,Roy's greatest root,0.02765787490810203,31,672,0.5995513528465988,0.9593159277852867
x2,Wilks' lambda,0.9730864982057145,31,672.0,0.5995512894051019,0.9593159583014406
x2,Pillai's trace,0.02691350179428557,31.0,672.0,0.5995512894051027,0.9593159583014406
x2,Hotelling-Lawley trace,0.027657871981485397,31,672.0000000000011,0.5995512894051027,0.9593159583014503
x2,Roy's greatest root,0.027657871981485397,31,672,0.5995512894051027,0.9593159583014406
x3,Wilks' lambda,0.9730864902692983,31,672.0,0.5995514710943067,0.959315870906615
x3,Pillai's trace,0.026913509730701713,31.0,672.0,0.5995514710943064,0.959315870906615
x3,Hotelling-Lawley trace,0.027657880362981398,31,672.0000000000011,0.5995514710943064,0.9593158709066261
x3,Roy's greatest root,0.027657880362981398,31,672,0.5995514710943064,0.959315870906615
x4,Wilks' lambda,0.9730864929248702,31,672.0,0.5995514103000221,0.9593159001494562
x4,Pillai's trace,0.02691350707512981,31.0,672.0,0.599551410300021,0.9593159001494574
x4,Hotelling-Lawley trace,0.02765787755848312,31,672.0000000000011,0.5995514103000211,0.9593159001494672
x4,Roy's greatest root,0.02765787755848312,31,672,0.5995514103000211,0.9593159001494574
x5,Wilks' lambda,0.9730865071983309,31,672.0,0.5995510835361985,0.9593160573268484
x5,Pillai's trace,0.02691349280166912,31.0,672.0,0.5995510835361988,0.9593160573268484
x5,Hotelling-Lawley trace,0.027657862484556792,31,672.0000000000011,0.5995510835361988,0.9593160573268581
x5,Roy's greatest root,0.027657862484556792,31,672,0.5995510835361988,0.9593160573268484
x6,Wilks' lambda,0.9730864985393719,31,672.0,0.5995512817666475,0.9593159619756303
x6,Pillai's trace,0.026913501460628056,31.0,672.0,0.5995512817666466,0.959315961975633
x6,Hotelling-Lawley trace,0.027657871629116138,31,672.0000000000011,0.5995512817666465,0.9593159619756427
x6,Roy's greatest root,0.027657871629116138,31,672,0.5995512817666465,0.959315961975633
x7,Wilks' lambda,0.9730864980549783,31,672.0,0.5995512928559215,0.9593159566415548
x7,Pillai's trace,0.026913501945021685,31.0,672.0,0.5995512928559203,0.9593159566415548
x7,Hotelling-Lawley trace,0.027657872140674906,31,672.0000000000011,0.5995512928559205,0.9593159566415645
x7,Roy's greatest root,0.027657872140674906,31,672,0.5995512928559205,0.9593159566415548
