	Mode 13
Concerns	-0.013290514457046518
People	0.41674441174053994
Friend	-0.20746308488000983
Family	-0.0
Today_Past	-0.2867342878068924
Social_Future	0.16783931432457852
Social_Past	-0.045794103866553644
NearLocation	0.08797689586689719
Guilt	0.003081529190101126
Today_Plan	-0.04492236221037322
RecentPast	-0.0
DistantPast	0.356381881988666
Anger	-0.09718771831245736
Happiness	-0.12619790978067033
Cheerfulness	0.19290987288061873
Calm	0.06341108450780986
Sadness	-0.0983125911440173
Importance	0.0
TodayFuture	-0.2923628743841529
DistantFuture	0.1883490899750236
NearFuture	0.0
Worries	-0.0
DistantLocation	0.25635640420446504
Image	-0.18250606469955774
Words	-0.0
Monologue	0.08979397443861925
Film	-0.2972538784039402
Narrative	-0.06052353191062003
Purpose	0.058410904841345104
Vague	0.3661955373060131
Fragment	-0.0
